tag,related
AMGP_1(tu-tit),"Biophony,Bird,Shorebird,Plover,AMGP"
AMGP_2(tuuut),"Biophony,Bird,Shorebird,Plover,AMGP"
AMGP_3(other),"Biophony,Bird,Shorebird,Plover,AMGP"
ARTE,"Biophony,Bird"
BASA,"Biophony,Bird,Shorebird,Sandpiper"
BBPL,"Biophony,Bird,Shorebird,Plover"
BBPL(tuuut),"Biophony,Bird,Shorebird,Plover,BBPL"
BRAN,"Biophony,Bird,Goose"
CAGO,"Biophony,Bird,Goose"
CORA,"Biophony,Bird"
DUNL,"Biophony,Bird,Shorebird,Sandpiper"
DUNL(descending trill),"Biophony,Bird,Shorebird,Sandpiper,DUNL"
DUNL(rising trill),"Biophony,Bird,Shorebird,Sandpiper,DUNL"
DUNL(titutu),"Biophony,Bird,Shorebird,Sandpiper,DUNL"
Duck Sp.,"Biophony,Bird"
GWFG,"Biophony,Bird,Goose"
Goose,"Biophony,Bird"
Gull,"Biophony,Bird"
HEGU,"Biophony,Bird,Gull"
Human,Biophony
Insect,Biophony
KIEI,"Biophony,Bird,Duck Sp."
LALO,"Biophony,Bird,Passerine"
LALO(chirp),"Biophony,Bird,Passerine,LALO"
LALO(song),"Biophony,Bird,Passerine,LALO"
LALO(trill),"Biophony,Bird,Passerine,LALO"
LBDO,"Biophony,Bird,Shorebird"
LBDO(chirp),"Biophony,Bird,Shorebird,LBDO"
LBDO(song),"Biophony,Bird,Shorebird,LBDO"
LOON,"Biophony,Bird"
LTDU,"Biophony,Bird,Duck Sp."
LTDU(yodel),"Biophony,Bird,Duck Sp.,LTDU"
LTJA,"Biophony,Bird"
Motor,"Biophony,Human"
PALO,"Biophony,Bird,LOON"
PESA,"Biophony,Bird,Shorebird,Sandpiper"
PESA(chip),"Biophony,Bird,Shorebird,Sandpiper,PESA"
PESA(hoohoohoo),"Biophony,Bird,Shorebird,Sandpiper,PESA"
PESA(trill),"Biophony,Bird,Shorebird,Sandpiper,PESA"
POJA,"Biophony,Bird"
PUSA,"Biophony,Bird,Shorebird,Sandpiper"
PUSA(kreeekreeekreee),"Biophony,Bird,Shorebird,Sandpiper,PUSA"
PUSA(tututu),"Biophony,Bird,Shorebird,Sandpiper,PUSA"
Passerine,"Biophony,Bird"
Passerine(chirp),"Biophony,Bird,Passerine"
Passerine(song),"Biophony,Bird,Passerine"
Plover,"Biophony,Bird,Shorebird"
REPH,"Biophony,Bird,Shorebird"
REPH(chirp),"Biophony,Bird,Shorebird,REPH"
RTLO,"Biophony,Bird,LOON"
RTLO(duet),"Biophony,Bird,LOON,RTLO"
RUTU,"Biophony,Bird,Shorebird"
RUTU(rattle),"Biophony,Bird,Shorebird,RUTU"
SAGU,"Biophony,Bird,Gull"
SAND,"Biophony,Bird,Shorebird,Sandpiper"
SAND(chirp),"Biophony,Bird,Shorebird,Sandpiper,SAND"
SAND(trill),"Biophony,Bird,Shorebird,Sandpiper,SAND"
SEPL,"Biophony,Bird,Shorebird,Plover"
SEPL(song),"Biophony,Bird,Shorebird,Plover,SEPL"
SESA,"Biophony,Bird,Shorebird,Sandpiper"
SESA_1(chirp),"Biophony,Bird,Shorebird,Sandpiper,SESA"
SESA_2(motorboat),"Biophony,Bird,Shorebird,Sandpiper,SESA"
SESA_3(titutu),"Biophony,Bird,Shorebird,Sandpiper,SESA"
SNBU,"Biophony,Bird,Passerine"
SNBU(chirp),"Biophony,Bird,Passerine,SNBU"
SNBU(song),"Biophony,Bird,Passerine,SNBU"
SNBU(trill),"Biophony,Bird,Passerine,SNBU"
SNGO,"Biophony,Bird,Goose"
SPEI,"Biophony,Bird,Duck Sp."
Sandpiper,"Biophony,Bird,Shorebird"
Sandpiper (chip),"Biophony,Bird,Shorebird,Sandpiper"
Sandpiper (chirp),"Biophony,Bird,Shorebird,Sandpiper"
Sandpiper(trill),"Biophony,Bird,Shorebird,Sandpiper"
Shorebird,"Biophony,Bird"
Shorebird(chirp),"Biophony,Bird,Shorebird"
Shorebird(song),"Biophony,Bird,Shorebird"
TUSW,"Biophony,Bird"
UNKN,"Biophony,Bird"
UNKN (chirp),"Biophony,Bird,UNKN"
UNKN (song),"Biophony,Bird,UNKN"
UNKN (trill),"Biophony,Bird,UNKN"
WRSA,"Biophony,Bird,Shorebird,Sandpiper"
WRSA_1(boingboingboing),"Biophony,Bird,Shorebird,Sandpiper,WRSA"
WRSA_2(chirp),"Biophony,Bird,Shorebird,Sandpiper,WRSA"
Wings,"Biophony,Bird"
Unknow sound,
Wind,Geophony
BTGO(chirp),"Biophony,Bird,Shorebird,BTGO"
BTGO,"Biophony,Bird,Shorebird"
Geophony,
Rain,Geophony
Dog?,Biophony
